reference_number,local_name,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,pass_number,ef_seconds,site_length,avg_wetted_width_m,enclosure,voltage,frequency,pulse,make,model,species,life_stage,age,total_num,min_length,max_length,comments
11,58264_ds_ef1,6,88,clear,electrofishing,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,Dolly Varden,juvenile,,2,111,133,
11,58264_ds_ef1,6,88,clear,electrofishing,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,15,77,110,
11,58264_ds_ef1,6,88,clear,visual observation above water,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,95,95,
11,58264_ds_ef1,6,88,clear,visual observation above water,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,,,1,,,
12,58264_ds_ef2,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,Coho Salmon,fry,,3,52,61,
12,58264_ds_ef2,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,Coho Salmon,parr,,1,97,97,
12,58264_ds_ef2,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,Cutthroat Trout /Rainbow Trout  hybrid,parr,,5,75,85,
12,58264_ds_ef2,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,Dolly Varden,fry,,1,46,46,
12,58264_ds_ef2,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,fry,,20,34,54,
12,58264_ds_ef2,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,13,67,102,
12,58264_ds_ef2,7,84,clear,visual observation above water,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,90,90,
13,58264_us_ef1,6,88,clear,electrofishing,,1,679,32,3.5,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,fry,,1,64,64,
13,58264_us_ef1,6,88,clear,electrofishing,,1,679,32,3.5,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,11,69,107,
13,58264_us_ef1,6,88,clear,visual observation above water,,1,679,32,3.5,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,100,100,
19,198916_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,fry,,4,48,58,
19,198916_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,parr,,8,81,104,
19,198916_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,juvenile,,4,111,126,
19,198916_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,adult,,1,176,176,
19,198916_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,juvenile,,1,127,127,
19,198916_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,adult,,1,200,200,
19,198916_ds_ef1,7,304,Lightly Turbid,visual observation above water,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,65,65,
19,198916_ds_ef1,7,304,Lightly Turbid,visual observation above water,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,110,110,
20,198916_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,fry,,3,55,64,
20,198916_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,parr,,5,85,110,
20,198916_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,juvenile,,3,123,134,
20,198916_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,adult,,1,142,142,
20,198916_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,fry,,1,61,61,
20,198916_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,juvenile,,1,118,118,
20,198916_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,adult,,2,155,162,
21,198916_us_ef1,7,304,Lightly Turbid,electrofishing,,1,664,43,3.4,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,parr,,3,71,84,
22,198913_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,185,7,6,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,adult,,1,170,170,
22,198913_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,185,7,6,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,fry,,1,56,56,
22,198913_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,185,7,6,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,juvenile,,3,115,129,
22,198913_ds_ef1,7,304,Lightly Turbid,electrofishing,,1,185,7,6,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,adult,,1,168,168,
22,198913_ds_ef1,7,304,Lightly Turbid,visual observation above water,,1,185,7,6,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,100,100,
22,198913_ds_ef1,7,304,Lightly Turbid,visual observation above water,,1,185,7,6,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,,,1,,,
23,198913_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,281,20,3.3,open,250,60,,other,halltech HT2000,Cutthroat Trout,adult,,1,178,178,
23,198913_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,281,20,3.3,open,250,60,,other,halltech HT2000,Dolly Varden,fry,,1,52,52,
23,198913_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,281,20,3.3,open,250,60,,other,halltech HT2000,Dolly Varden,parr,,1,69,69,
23,198913_ds_ef2,7,304,Lightly Turbid,electrofishing,,1,281,20,3.3,open,250,60,,other,halltech HT2000,Dolly Varden,juvenile,,3,119,137,
23,198913_ds_ef2,7,304,Lightly Turbid,visual observation above water,,1,281,20,3.3,open,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,2,50,50,
24,198913_us_ef1,7,304,Lightly Turbid,electrofishing,,1,377,30,3,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,fry,,1,58,58,
24,198913_us_ef1,7,304,Lightly Turbid,electrofishing,,1,377,30,3,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,parr,,5,69,106,
24,198913_us_ef1,7,304,Lightly Turbid,electrofishing,,1,377,30,3,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,juvenile,,3,112,120,
24,198913_us_ef1,7,304,Lightly Turbid,visual observation above water,,1,377,30,3,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,4,40,50,
24,198913_us_ef1,7,304,Lightly Turbid,visual observation above water,,1,377,30,3,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,,,1,,,
