reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
11,Simpson Creek,58264_ds_ef1,00000BULK,0,11,6,4.4,4.8,,,,,5.0666666666666655,metre tape,3.9,3.2,2.8,,,,,3.2999999999999994,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6,recording meter,88,recording meter,7,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The stream was electrofished from a stop net located 25m downstream of the culvert upstream to the culvert outlet. The outlet pool was too deep to fish entirely, so only the accessible half was safely sampled. The habitat primarily consisted of boulders with frequent pools, providing excellent conditions for fish. A well-developed, mature riparian zone on both sides of the stream offered additional cover and habitat complexity. Bottom of site WP 366."
12,Simpson Creek,58264_ds_ef2,00000BULK,0,12,4.6,4.5,5.5,,,,,4.866666666666665,metre tape,2.3,2.5,3.2,,,,,2.6666666666666665,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,7,recording meter,84,recording meter,6.8,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrofishing was conducted on a stream section accessed through private property with permission from the landowner. Sampling occurred from WP 367 to WP 368, covering approximately 30m, with a stop net placed at the downstream end. The site was located ~360m downstream of the Nielsen Road crossing. The area featured excellent habitat with several deep pools and abundant gravels suitable for spawning. Numerous fish were captured, including coho. The riparian zone on both sides of the stream was healthy and well-developed, providing additional cover and habitat complexity."
13,Simpson Creek,58264_us_ef1,00000BULK,0,13,7,4.2,5.7,,,,,5.633333333333333,metre tape,4.1,2.9,3.4,,,,,3.466666666666667,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6,recording meter,88,recording meter,7,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The stream was electrofished from the culvert inlet upstream for approximately 35m, with a stop net placed at the downstream end. The habitat was excellent, featuring undercut banks, numerous pools, and a mature, healthy riparian zone providing ample cover and habitat complexity. The top of the site was marked at WP 369."
14,Simpson Creek,58245_us,00000BULK,0,14,5.1,5.8,5.5,5.4,7,7,,5.966666666666666,metre tape,2.6,2.9,2.9,4.2,6,7,,4.266666666666667,metre tape,0.8,0.9,0.6,0.6,0.55,,,0.6900000000000001,metre stick,0.9,0.7,1,,0.8666666666666667,metre stick,1,1.5,1.5,0.5,0.01125,clinometer,moderate,,6,recording meter,107,recording meter,7.7,pH meter (general),clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,21-40%,few,evenly distributed,none,,,,,,,,,,,fines,gravels,,12,riffle-pool,irregular wandering,Decoupled,occasionally confined,,,,,,,,,"The stream was surveyed from the railway downstream to Lake Kathlyn Road, covering approximately 1km. The upper 750m of the stream is in relatively good condition, with mostly intact riparian vegetation, abundant gravels, deep pools, and large woody debris throughout. The lower 250–500m is heavily impacted by adjacent private lands, with riparian vegetation removal, stream channelization, and bank armouring. Extensive beaver activity was observed within the lower ~300m, with dams ranging from 0.4 to 1m in height. An additional crossing was noted on private land just upstream of Lake Kathlyn Road on a driveway. This stream is a major contributor to the greater Kathlyn Creek watershed, with flow volumes during the assessment slightly less than the Kathlyn Creek mainstem. The stream provides high-value habitat upstream, particularly in the upper sections, within this known steelhead, coho, and historically Chinook spawning system. Electrofishing upstream of Nielsen Road captured rainbow trout, while downstream sampling confirmed the presence of coho,  Dolly Varden, rainbow trout, and cutthroat trout/rainbow trout hybrids."
15,Simpson Creek,58245_ds,00000BULK,0,15,6.1,5.5,7,,,,,6.2,metre tape,4.5,3.2,4,,,,,3.9,metre tape,0.3,,,,,,,0.3,metre stick,0.55,0.6,,,0.575,metre stick,2,,,,0.02,clinometer,moderate,,6,recording meter,107,recording meter,7.7,pH meter (general),clear,moderate,sub-dominant,trace,trace,dominant,sub-dominant,sub-dominant,none,21-40%,few,evenly distributed,none,sloping,fines,,shrubs,shrub,undercut,fines,,shrubs,shrub,fines,cobbles,,16,riffle-pool,sinuous,Decoupled,frequently confined,,,,,,,,,"The stream was surveyed for approximately 70m from Lake Kathlyn Road to its confluence with Kathlyn Creek. It runs adjacent to the road on one side and private property on the other. Riparian vegetation is minimal on the private property side, with only shrubs present along the roadside. Multiple sections of bank armouring and channelization were observed near private land. Substrate consists primarily of fines and cobble, with only small pockets of gravel. This stream is a major contributor to the greater Kathlyn Creek watershed, with flow volumes during the assessment slightly less than the Kathlyn Creek mainstem. The stream provides high-value habitat upstream, particularly in the upper sections, within this known steelhead, coho, and historically Chinook spawning system. Electrofishing upstream of Nielsen Road captured rainbow trout, while downstream sampling confirmed the presence of coho,  Dolly Varden, rainbow trout, and cutthroat trout/rainbow trout hybrids."
16,Comeau Creek,198916_us,00000KISP,0,16,3.5,4.3,4.7,5,,,,4.375,metre tape,2.4,2.9,3.6,4.1,,,,3.25,metre tape,0.3,0.35,0.3,0.25,0.5,0.75,,0.4083333333333334,metre stick,0.5,,,,0.5,metre stick,4,7,3,3.5,0.04375,clinometer,moderate,,8,recording meter,305,recording meter,8.099999999999998,pH meter (general),Lightly Turbid,moderate,sub-dominant,trace,sub-dominant,dominant,trace,sub-dominant,none,21-40%,few,clumped,mosses,undercut,fines,,mixed forest,mature forest,V-shaped,fines,cobbles,mixed forest,mature forest,cobbles,boulders,,,cascade-pool,irregular wandering,Partially Coupled,confined,LWD Jam,2,9,metre stick,9,580616,6115630,GPS General,"This survey covers the area from the railway culvert (crossing 198916, ~100m long and from the 1920s) upstream to the crossing on Highway 16 (crossing 198913), spanning approximately 900m. A separate habitat confirmation was conducted upstream of Highway 16. Therefore, this site encompasses both 198916_us and 198913_ds. A large woody debris jam was observed approximately 250m upstream of the culvert, creating a 17% gradient over a 9m section due to a fallen tree. The stream had good flow in this steeper section, supported by a healthy, mature mixed riparian forest that stabilized the banks. Occasional pockets of gravels suitable for coho, Dolly Varden, and cutthroat trout spawning were present.  Electrofishing was conducted and Dolly Varden and cutthroat trout were captured above and below the highway crossing. WP79 marks the confluence with a steel bridge on private land. BC Freshwater atlas mapping of this watershed is incorrect as the main stream at the confluence with the Skeena River is actually Comeau Creek vs Gershwin Creek. Therefore, this site is actually on Comeau Creek."
17,Comeau Creek,198916_ds,00000KISP,0,17,6,6.2,5.2,6.5,6.2,5.4,,5.916666666666667,metre tape,3,2.3,4.4,3.8,5,3.9,,3.733333333333333,metre tape,0.25,0.45,0.35,0.4,0.25,,,0.34,metre stick,0.75,0.75,0.8,,0.7666666666666666,metre stick,5,3.5,7,5,0.05125,clinometer,moderate,,8,recording meter,305,recording meter,8.099999999999998,pH meter (general),Lightly Turbid,moderate,sub-dominant,sub-dominant,dominant,trace,trace,sub-dominant,none,21-40%,abundant,evenly distributed,mosses,sloping,cobbles,gravels,shrubs,shrub,V-shaped,gravels,fines,mixed forest,mature forest,cobbles,gravels,,,cascade-pool,sinuous,Partially Coupled,confined,,,,,,,,,"The stream was surveyed downstream of the culvert for 300m, ending at waypoint 378. A large, bent, and unused pipe—possibly a former water intake—ran the entire length of the survey area. The stream contained numerous boulders forming step pools, but high flow at the time of assessment limited the number of pools suitable for fish. Occasional gravels for spawning and frequent large woody debris creating additional steps were observed. The first pool suitable for overwintering fish with adequately reduced flow was located approximately 250m downstream of the culvert. Fish sampling captured cutthroat trout and Dolly Varden downstream of the railway crossing, and Dolly Varden upstream.  BC Freshwater atlas mapping of this watershed is incorrect as the main stream at the confluence with the Skeena River is actually Comeau Creek vs Gershwin Creek. Therefore, this site is actually on Comeau Creek."
18,Comeau Creek,198913_us,00000KISP,0,18,9.2,5.6,5.3,4.5,5.4,6.1,,6.016666666666667,metre tape,4.6,5.2,2.8,3.1,4.2,4.3,,4.033333333333334,metre tape,0.85,0.4,0.6,,,,,0.6166666666666667,metre stick,0.6,0.65,0.45,,0.5666666666666667,metre stick,2,3,2,4,0.0275,clinometer,moderate,,8,recording meter,305,recording meter,8.099999999999998,pH meter (general),Lightly Turbid,abundant,sub-dominant,dominant,sub-dominant,trace,sub-dominant,sub-dominant,none,41-70%,abundant,evenly distributed,mosses,sloping,cobbles,gravels,shrubs,shrub,undercut,gravels,fines,mixed forest,mature forest,gravels,fines,,,riffle-pool,sinuous,Partially Coupled,frequently confined,,,,,,,,,"The stream has frequent pools suitable for overwintering fish, with spawning gravel present despite a significant amount of fines. It has a low gradient near the culvert and flows through agricultural fields, but maintains sufficient riparian cover with large cottonwoods throughout the 600m survey. A landowner-constructed bridge with two culverts is located ~250m upstream of the highway crossing. Two ~1m high logjams are present. Electrofishing was conducted and Dolly Varden and cutthroat trout were captured above and below the highway crossing.  BC Freshwater atlas mapping of this watershed is incorrect as the main stream at the confluence with the Skeena River is actually Comeau Creek vs Gershwin Creek. Therefore, this site is actually on Comeau Creek. 
"
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,4.1,4.7,5.4,,,,,4.7333333333333325,metre tape,3.1,3.1,3.2,,,,,3.1333333333333333,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7,recording meter,304,recording meter,8.199999999999998,pH meter (general),Lightly Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The electrofishing site began at the stop net located approximately 35m downstream of the culvert and extended upstream to just below the log forming the outlet of the culvert pool. This section was designated as site 198916_ds_ef1. The section above the log to the culvert contained several deeper pools formed by large woody debris, where the majority of fish were captured. This section was designated as a separate sampling site, 198916_ds_ef2, due to its distinct habitat characteristics."
20,Comeau Creek,198916_ds_ef2,00000KISP,0,20,7.9,7.8,5.6,,,,,7.099999999999999,metre tape,5.5,7.3,4.7,,,,,5.833333333333333,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7,recording meter,304,recording meter,8.199999999999998,pH meter (general),Lightly Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This site consisted of the culvert outlet pool and approximately 2m of stream downstream of the outlet pool control. This section featured several deeper pools formed by large woody debris, providing complex habitat where the majority of fish were captured. Electrofishing was conducted simultaneously with the downstream site (198916_ds_ef1) without the use of a separate stop net. The fishing effort for this site was recorded as 100 seconds."
21,Comeau Creek,198916_us_ef1,00000KISP,0,21,3.7,7.599999999999999,3.6,,,,,4.966666666666667,metre tape,3.2,4.2,2.8,,,,,3.4,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7,recording meter,304,recording meter,8.199999999999998,pH meter (general),Lightly Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrofishing was conducted from the inlet of the railway culvert upstream for approximately 43m, resulting in the capture of only three Dolly Varden. This section featured steeper step-pool habitat with extensive boulder cover. The stop net placed at the culvert inlet failed midway through the assessment."
22,Comeau Creek,198913_ds_ef1,00000KISP,0,22,,,,,,,,,metre tape,6,,,,,,,6,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7,recording meter,304,recording meter,8.199999999999998,pH meter (general),Lightly Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fished the outlet pool of the culvert. Nice deep pool with Dolly Vardon and cutthroat trout captured. Site marked with flagging tape.
23,Comeau Creek,198913_ds_ef2,00000KISP,0,23,5.1,4.5,2.5,,,,,4.033333333333333,metre tape,3.3,,,,,,,3.3,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7,recording meter,304,recording meter,8.199999999999998,pH meter (general),Lightly Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nice stream with pools suitable for overwintering fish and gravels for spawning. Electrofishing was conducted from 20m downstream up to the outflow of the outlet pool. Cutthroat trout and Dolly Varden were captured. The bottom of the site is marked with flagging.
24,Comeau Creek,198913_us_ef1,00000KISP,0,24,4,5.1,3.8,,,,,4.3,metre tape,3,,,,,,,3,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7,recording meter,304,recording meter,8.199999999999998,pH meter (general),Lightly Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deep pools suitable for overwintering fish and gravels for spawning were present. Electrofishing was conducted from the culvert inlet upstream for approximately 30m. The top of the site was marked with flagging.
25,Simpson Creek,58264_us,00000BULK,0,25,8.599999999999998,10.4,7.9,7.7,10,,,8.92,metre tape,4.4,5.7,2.7,4.1,6.5,,,4.68,metre tape,0.4,0.3,0.25,0.2,0.35,0.25,,0.2916666666666667,metre stick,1,0.8,1,,0.9333333333333331,metre stick,7,7,7,8,0.07249999999999998,clinometer,moderate,,4,recording meter,67,recording meter,7.599999999999999,pH meter (general),clear,moderate,trace,sub-dominant,dominant,trace,trace,trace,none,21-40%,few,clumped,mosses,V-shaped,fines,cobbles,mixed forest,mature forest,sloping,cobbles,boulders,mixed forest,mature forest,cobbles,boulders,,,step-pool,sinuous,Partially Coupled,occasionally confined,cascade or Chute,1.6,8,metre stick,9,613823,6074545,GPS General,"The stream was surveyed from Nielsen Road upstream for approximately 650m, to roughly 200m upstream of the powerlines. The stream had a steeper gradient with predominantly boulder cover and pockets of gravels suitable for coho, steelhead, and Dolly Varden spawning. Pools were infrequent. The upper end of the site was located just upstream of a short cascade with a 20% gradient. The riparian zone consisted of a healthy, mature mixed forest. This stream is a major contributor to the greater Kathlyn Creek watershed, with flow volumes during the assessment slightly less than the Kathlyn Creek mainstem. The stream provides high-value habitat, particularly below Nielsen Road, as this is a known steelhead, coho, and historically Chinook spawning system. The culvert on Nielsen Road has a significant outlet drop and likely limits fish passage.  Electrofishing upstream of Nielsen Road captured rainbow trout, while downstream sampling confirmed the presence of coho,  Dolly Varden, rainbow trout, and cutthroat trout/rainbow trout hybrids."
26,Buck Creek,buck_falls,00000BULK,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,falls,4,200,metre stick,9,662825,6007372,GPS General,"Buck falls are located just downstream of the Buck Flats Road bridge on the Buck Creek mainstem - mapped in the freshwater atlas as 46.7km upstream of its confluence with the Bulkley River. The falls consist of a series of four distinct vertical and cascade sections distributed over approximately 200m of stream, ranging from 1 - 4m in height."
