rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
8,2024-09-25T00:00:00Z,198916,,LS JD,9,580463,6115769,Comeau Creek,Railway,,CN Rail,Closed Bottom Structure,Concrete Box,1.5,100,No,,,No,,9.9,0.45,0.35,No,6,4.4,4.4,No,No,Deep Fill,Medium,2.93,6,10,10,10,6,42,Barrier,Replace with New Open Bottom Structure,35.5,"The concrete box culvert is approximately 100 m long beneath a railway crossing, with about 30 to 40 m of fill above it. A swift current flows through the culvert, and installing baffles could improve fish passage. Fish sampling captured cutthroat trout and Dolly Varden. There is a moderate outlet drop, but adult fish could likely move upstream. The habitat upstream features good flow through a steeper section with a healthy, mature mixed riparian forest, stable banks, and gravel pockets suitable for spawning coho, Dolly Varden, and cutthroat trout. Downstream, abundant boulders create step pools alongside frequent large woody debris, though high flows limited suitable fish habitat during the survey. Although construction would be expensive and challenging, this site is a high priority for restoration follow-up.Culvert length 100 m but changed to 99.9 m to meet submission requirements.Fill depth 30 m but changed to 9.9 m to meet submission requirements.",pscis_phase2.xlsm,198916,,,LS,198916
9,2024-09-20T00:00:00Z,58264,,LS TP,9,614280,6074951,Simpson Creek,Nielson Road,,MoTi,Closed Bottom Structure,Oval Culvert,2.4,23,No,,,No,,0.4,1,1.2,No,5,5.6,13,No,Yes,Deep Fill,High,2.33,3,10,10,10,6,39,Barrier,Replace with New Open Bottom Structure,15,"This concrete oval culvert has a significant 1 m outlet drop, likely inhibiting fish passage. The stream is incorrectly mapped in the Freshwater Atlas, located south of the mapped channel. Upstream habitat includes boulder cover, gravel pockets suitable for coho, steelhead, and Dolly Varden spawning, and a healthy mature mixed forest riparian zone. Downstream habitat transitions to lower-gradient, high-value conditions with extensive gravels, deep pools (up to 90 cm), large woody debris, and abundant cover, supporting recent steelhead and historically chinook spawning, as reported by the adjacent landowner. Habitat confirmations were completed at this site and all downstream crossings to the confluence with Kathlyn Creek. The stream is a major contributor to the greater Kathlyn Creek watershed, with flow volumes during the assessment slightly less than the Kathlyn Creek mainstem. Electrofishing upstream of Nielsen Road captured rainbow trout, while downstream sampling confirmed the presence of Dolly Varden, rainbow trout, cutthroat trout/rainbow trout hybrids, and coho. The coho were captured approximately 350 m downstream of Nielsen Road. According to the landowner, this crossing was originally a bridge but was replaced with the current culvert during an emergency flood event in the 1990s.",pscis_phase2.xlsm,58264,,,LS,58264
10,2024-09-18T00:00:00Z,198940,,AI,9,636706,6020960,Tributary to Knapper Creek,HM7504,0.3,Canfor R07549 16,Closed Bottom Structure,Round Culvert,0.95,25,No,,,Yes,30,1.75,0,0.9,Yes,2,4.3,3,Yes,Yes,Deep Fill,Medium,4.53,3,10,0,5,6,24,Barrier,Replace with New Open Bottom Structure,15,"Very nice stream with good flow, abundant gravels for spawning, and undercut banks and occasional deep pools for rearing. Confirmed populations of cutthroat trout, rainbow trout, and Dolly Varden. The culvert is significantly undersized for the stream, and the road appears to be failing, likely due to a partially clogged inlet and spring freshet. Habitat confirmations were completed for this crossing and the next upstream crossing (198935) on the Gold FSR.",pscis_phase2.xlsm,198940,,,AI,198940
11,2024-09-20T00:00:00Z,203122,,AI,9,614941,6075232,Simpson Creek,Railway,,CN Rail,Closed Bottom Structure,Round Culvert,3,25,No,,Yes,No,,1,0.05,0.9,Yes,2,5,1,Yes,Yes,Deep Fill,High,1.67,3,10,0,5,6,24,Barrier,Replace with New Open Bottom Structure,15,"Although this culvert is on Simpson Creek, it is not currently conveying the main flow and remains mostly dry. Two 1.5 m diameter pipes run under the railway, approximately 30 m apart. The southern pipe is fully embedded with an average embedment depth of 25 cm, while the northern pipe is currently passing all stream flow. This is a high-value stream with extensive gravel areas suitable for steelhead, coho, and chinook salmon spawning upstream. The adjacent landowner has reported recent observations of steelhead spawning and has historical knowledge of chinook spawning approximately 300 m downstream from Nielsen Road.",pscis_phase2.xlsm,203122,,,AI,203122
5,2024-09-19T00:00:00Z,195943,,LS,9,645439,6035050,Stock Creek,Barrett station rd,,MoTi,Closed Bottom Structure,Oval Culvert,2.2,14,No,,,No,,0.4,1.05,0.6,No,1.5,2.6,2,No,Yes,Deep Fill,Medium,1.18,0,10,10,5,3,28,Barrier,Replace with New Open Bottom Structure,15,"The culvert has a substantial outlet drop of 1.05 m, with signs of high flows at the outlet. The stream likely contains numerous pools during higher flows but had very low flows at the time of assessment. Flowing through agricultural land on both sides, the stream is heavily eroded downstream, making it a strong candidate for fencing and riparian management.  Upstream habitat was less eroded and consisted of mature riparian vegetation providing good habitat for fish. Only two fish were captured during sampling (both in the deep outlet pool), which was unexpected given the good habitat. Conductivity was extremely high, possibly due to upstream cattle activity and surrounding land use.        MoTi chris_culvert_id: 1755230",pscis_reassessments.xlsm,195943,MoTi chris_culvert_id: 1755230,,LS,195943
6,2024-09-17T00:00:00Z,8530,,LS AI TP VJ,9,582719,6073883,Sandstone Creek,McDonnell fsr,,MoF,Closed Bottom Structure,Round Culvert,2.4,38,No,,,No,,9,0.5,0.4,No,5,3.9,2,No,Yes,Deep Fill,High,1.62,6,10,10,10,6,42,Barrier,Replace with New Open Bottom Structure,33,"The stream has good quality habitat with abundant overhanging vegetation and boulders providing cover, pools for overwintering fish, and gravel suitable for spawning. Rainbow trout, cutthroat trout, and Dolly Varden were captured during sampling. Very large culvert with a significant amount of road fill (9m).    There was an engineering site survey conducted in 2024 but the design plans were put on hold due to high replacement costs and uncertainty around if salmon could access the crossing due to potential barriers downstream. DFO was involved and reported that coho were spawning downstream of the crossing in October 2024.",pscis_reassessments.xlsm,8530,,,LS,8530
7,2024-09-19T00:00:00Z,195935,,LS VJ,9,645104,6034615,Dunalter Creek,Houston Airport rd,,MoTi,Closed Bottom Structure,Round Culvert,1.2,38,No,,,No,,9.9,0.2,0.15,No,1,1.7,2,No,Yes,Deep Fill,Medium,1.42,6,10,5,5,6,32,Barrier,Replace Structure with Streambed Simulation CBS,35.5,"Upstream of the crossing, there is good habitat for fish, including undercut banks, functional large woody debris, healthy riparian vegetation, and several pools suitable for overwintering fish. A fish ~100 mm in length was observed in one of the pools upstream. A barbed wire fence is present when accessing the inlet. The culvert is extremely long (38 m), with its outlet located approximately 3 m upstream of the inlet of crossing 195934. Downstream of crossing 195934 the stream is heavily overgrown.Fill depth 11 m but changed to 9.9 m to meet submission requirements. MoTi chris_culvert_id: 2078335",pscis_reassessments.xlsm,195935,MoTi chris_culvert_id: 2078335,,LS,195935
8,2024-09-19T00:00:00Z,195934,,LS VJ,9,645128,6034597,Dunalter Creek,Barret station rd,,MoTi,Closed Bottom Structure,Round Culvert,1.2,16,No,,,Yes,15,2,0,0.15,No,4,1.6,1,No,No,Deep Fill,Medium,1.33,3,10,0,10,6,29,Barrier,Replace Structure with Streambed Simulation CBS,3,"The inlet of the culvert is approximately 3 m downstream of the outlet of culvert 195935, which crosses under the Houston Airport Rd. The stream has an estimated slope of 1%. Downstream of the culvert, the stream is heavily overgrown. The culvert has holes in the bottom about 2 m from the outlet and is backwatered up to that point. MoTi chris_culvert_id: 1755233",pscis_reassessments.xlsm,195934,MoTi chris_culvert_id: 1755233,,LS,195934
9,2024-10-03T00:00:00Z,197967,,AI,9,692426,6032341,Taman Creek,Highway 16,,MoTi,Closed Bottom Structure,Round Culvert,5.6,40,Yes,2,Yes,No,,7,0,0,No,3,5.5,2,Yes,No,Deep Fill,Medium,0.98,6,0,0,10,0,16,Potential,Replace with New Open Bottom Structure,27,"
This is a brand-new replacement structure, extremely well built with extensive embedment that includes numerous large boulders, cobbles, and gravel. The multiplate round structure is embedded nearly 2 m. Upstream, woody debris and boulder structures are cabled together for added stability. This massive construction project involved a substantial amount of fill extending 60 m downstream and over 200 m upstream. The site now offers migration conditions for fish that are equal to or better than previous conditions. MoTi chris_culvert_id: 2076452",pscis_reassessments.xlsm,197967,MoTi chris_culvert_id: 2076452,,AI,197967
10,2024-09-18T00:00:00Z,58235,,AI,9,616177,6074155,Kathlyn Creek,Highway 16,,MoTi,Open Bottom Structure,Bridge,12,10,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"New,  well built,  bridge.",pscis_reassessments.xlsm,58235,,,AI,58235
11,2024-09-24T00:00:00Z,198217,,LS AI,9,582850,6130490,Sik-e-dakh,Sik-e-dakh Water Tower Rd,,MoTi,Open Bottom Structure,Bridge,14,4,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"The culvert was replaced with a bridge, featuring excellent construction with a wide channel beneath the structure. Riprap has been covered with soil to promote vegetation growth, and significant riparian restoration is underway with trees and shrubs being planted. Overall, this is a well-executed replacement project.",pscis_reassessments.xlsm,198217,,,LS,198217
